Service Request Type,Year,Month,Request Count,lag,Rolling_Mean,Rolling_Std
Streetlight Maintenance,2022,1,425,673,410.6666666666667,269.7857174376276
Towing Complaint - Public Impound,2022,1,6,425,368.0,337.13350471289885
Towing Impound Complaint,2022,1,4,6,145.0,242.48917501612848
Traffic Calming,2022,1,5,4,5.0,1.0000000014151738
ADA Request (Transportation),2022,2,2,5,3.6666666666666665,1.5275252325791395
Abandoned Vehicle/72hr Parking Ordinance,2022,2,2950,2,985.6666666666666,1701.1632294795625
Animal Noise,2022,2,41,2950,997.6666666666666,1690.8827083311646
Business Related Complaint,2022,2,14,41,1001.6666666666666,1687.3601670459493
Clogged Storm Drain,2022,2,106,14,53.666666666666664,47.28988616327618
Damaged Sidewalk,2022,2,86,106,68.66666666666667,48.38732616435419
Dead Animal,2022,2,84,86,92.0,12.165525060687907
General Inquiry - Animal Shelter,2022,2,105,84,91.66666666666667,11.5902257672385
General Inquiry - City Light,2022,2,338,105,175.66666666666666,140.97635735588938
General Inquiry - Customer Service Bureau,2022,2,2034,338,825.6666666666666,1052.912310372205
General Inquiry - Police Department,2022,2,87,2034,819.6666666666666,1059.1054401396182
General Inquiry - Public Utilities,2022,2,181,87,767.3333333333334,1097.9719182808524
General Inquiry - Transportation,2022,2,439,181,235.66666666666666,182.2562298889553
Graffiti,2022,2,1548,439,722.6666666666666,726.3073270546945
Illegal Dumping / Needles,2022,2,2207,1548,1398.0,893.493704510558
Internet/Cable Issue,2022,2,35,2207,1263.3333333333333,1113.6302498286109
Nightlife Noise Complaint,2022,2,1,35,747.6666666666666,1263.9340700105108
Overgrown Vegetation,2022,2,116,1,50.666666666666664,59.079043097669654
Parking Enforcement,2022,2,1721,116,612.6666666666666,961.5655637206105
Parks and Recreation Maintenance,2022,2,310,1721,715.6666666666666,876.0310116276336
Pollution Report Form,2022,2,2,310,677.6666666666666,916.582965875613
Pothole,2022,2,727,2,346.3333333333333,363.8630694826499
Public Garage or Parking Lot Complaint,2022,2,2,727,243.66666666666666,418.57894516248166
Public Litter and Recycling Cans,2022,2,81,2,270.0,397.7398647357371
Safe Routes to School,2022,2,5,81,29.333333333333332,44.76978147518832
Scooter or Bike Share Issue,2022,2,138,5,74.66666666666667,66.72580710142105
Street Sign and Traffic Signal Maintenance,2022,2,644,138,262.3333333333333,337.1562446898111
Streetlight Maintenance,2022,2,369,644,383.6666666666667,253.31863992477065
Towing Complaint - Public Impound,2022,2,9,369,340.6666666666667,318.44675117409446
Traffic Calming,2022,2,7,9,128.33333333333334,208.4258461259925
Wireless or Small Cell Issue,2022,2,2,7,6.0,3.605551275842701
ADA Request (Transportation),2022,3,1,2,3.3333333333333335,3.2145502540896005
Abandoned Vehicle/72hr Parking Ordinance,2022,3,3393,1,1132.0,1958.0835017945485
Animal Noise,2022,3,36,3393,1143.3333333333333,1948.3470772255478
Business Related Complaint,2022,3,16,36,1148.3333333333333,1943.964077171524
Clogged Storm Drain,2022,3,142,16,64.66666666666667,67.71508940654947
Damaged Sidewalk,2022,3,120,142,92.66666666666667,67.30032194081195
Dead Animal,2022,3,72,120,111.33333333333333,35.795716689806625
General Inquiry - Animal Shelter,2022,3,106,72,99.33333333333333,24.684678108837527
General Inquiry - City Light,2022,3,339,106,172.33333333333334,145.33524463576202
General Inquiry - Customer Service Bureau,2022,3,2884,339,1109.6666666666667,1541.0276873999815
General Inquiry - Police Department,2022,3,83,2884,1102.0,1548.5564245451314
General Inquiry - Public Utilities,2022,3,145,83,1037.3333333333333,1599.5606688504613
General Inquiry - Transportation,2022,3,589,145,272.3333333333333,275.9879224410668
Graffiti,2022,3,1913,589,882.3333333333334,919.7767845153166
Illegal Dumping / Needles,2022,3,2801,1913,1767.6666666666667,1113.138505907209
Internet/Cable Issue,2022,3,49,2801,1587.6666666666667,1404.54880062365
Nightlife Noise Complaint,2022,3,2,49,950.6666666666666,1602.6079786814164
Overgrown Vegetation,2022,3,191,2,80.66666666666667,98.39884823175998
Parking Enforcement,2022,3,2313,191,835.3333333333334,1283.1813329897436
Parks and Recreation Maintenance,2022,3,497,2313,1000.3333333333334,1147.052454482067
Pollution Report Form,2022,3,6,497,938.6666666666666,1215.2630716570527
Pothole,2022,3,1849,6,784.0,954.4312442496852
Public Garage or Parking Lot Complaint,2022,3,2,1849,619.0,1065.213124215057
Public Litter and Recycling Cans,2022,3,83,2,644.6666666666666,1043.7692912388904
Safe Routes to School,2022,3,3,83,29.333333333333332,46.47938611188876
Scooter or Bike Share Issue,2022,3,226,3,104.0,112.97344820799458
Street Sign and Traffic Signal Maintenance,2022,3,871,226,366.6666666666667,450.77303971437425
Streetlight Maintenance,2022,3,326,871,474.3333333333333,347.1431020967238
Towing Complaint - Public Impound,2022,3,5,326,400.6666666666667,437.80170549386474
Traffic Calming,2022,3,2,5,111.0,186.2015037533382
ADA Request (Transportation),2022,4,1,2,2.6666666666666665,2.081666000622049
Abandoned Vehicle/72hr Parking Ordinance,2022,4,3171,1,1058.0,1829.9117465058257
Animal Noise,2022,4,28,3171,1066.6666666666667,1822.4561265866828
Business Related Complaint,2022,4,29,28,1076.0,1814.3232898246115
Clogged Storm Drain,2022,4,110,29,55.666666666666664,47.05670338367117
Damaged Sidewalk,2022,4,96,110,78.33333333333333,43.29357150130625
Dead Animal,2022,4,87,96,97.66666666666667,11.590225767371326
General Inquiry - Animal Shelter,2022,4,101,87,94.66666666666667,7.094598884972323
General Inquiry - City Light,2022,4,309,101,165.66666666666666,124.32752443983736
General Inquiry - Customer Service Bureau,2022,4,2890,309,1100.0,1553.6701709178822
General Inquiry - Police Department,2022,4,75,2890,1091.3333333333333,1562.078849909099
General Inquiry - Public Utilities,2022,4,102,75,1022.3333333333334,1617.5031169470228
General Inquiry - Transportation,2022,4,476,102,217.66666666666666,224.13017051110504
Graffiti,2022,4,1981,476,853.0,994.6139954776431
Illegal Dumping / Needles,2022,4,2547,1981,1668.0,1070.3910500373206
Internet/Cable Issue,2022,4,27,2547,1518.3333333333333,1322.174471593417
Overgrown Vegetation,2022,4,217,27,930.3333333333334,1403.2937444930528
Parking Enforcement,2022,4,2146,217,796.6666666666666,1172.4121857663088
Parks and Recreation Maintenance,2022,4,534,2146,965.6666666666666,1034.4140048033635
Pothole,2022,4,957,534,1212.3333333333333,835.7824677111456
Public Garage or Parking Lot Complaint,2022,4,6,957,499.0,476.4651089009573
Public Litter and Recycling Cans,2022,4,117,6,360.0,519.9874998497575
Scooter or Bike Share Issue,2022,4,372,117,165.0,187.6619300764066
Street Sign and Traffic Signal Maintenance,2022,4,858,372,449.0,376.45318434036557
Streetlight Maintenance,2022,4,243,858,491.0,324.3100368474604
Towing Complaint - Public Impound,2022,4,8,243,369.6666666666667,438.9286198612878
Towing Impound Complaint,2022,4,5,8,85.33333333333333,136.55157755711144
Traffic Calming,2022,4,5,5,6.0,1.7320508083632957
ADA Request (Transportation),2022,5,2,5,4.0,1.732050808365183
Abandoned Vehicle/72hr Parking Ordinance,2022,5,4156,2,1387.6666666666667,2397.44746205904
Animal Noise,2022,5,42,4156,1400.0,2386.849806753663
Business Related Complaint,2022,5,12,42,1403.3333333333333,2383.9264530042306
Clogged Storm Drain,2022,5,182,12,78.66666666666667,90.73771725879428
Damaged Sidewalk,2022,5,123,182,105.66666666666667,86.31531343473652
Dead Animal,2022,5,124,123,143.0,33.77869150815872
General Inquiry - Animal Shelter,2022,5,105,124,117.33333333333333,10.692676621724262
General Inquiry - City Light,2022,5,343,105,190.66666666666666,132.26614583232
General Inquiry - Customer Service Bureau,2022,5,2872,343,1106.6666666666667,1533.447858041914
General Inquiry - Police Department,2022,5,88,2872,1101.0,1539.0214423457526
General Inquiry - Public Utilities,2022,5,132,88,1030.6666666666667,1594.7931945344305
General Inquiry - Transportation,2022,5,520,132,246.66666666666666,237.7337446248138
Graffiti,2022,5,2177,520,943.0,1086.1413351861722
Illegal Dumping / Needles,2022,5,2755,2177,1817.3333333333333,1160.0975533692551
Internet/Cable Issue,2022,5,54,2755,1662.0,1422.2408375517837
Overgrown Vegetation,2022,5,657,54,1155.3333333333333,1417.7807776004493
Parking Enforcement,2022,5,2694,657,1135.0,1383.3882318423853
Parks and Recreation Maintenance,2022,5,497,2694,1282.6666666666667,1224.8658429939721
Pollution Report Form,2022,5,9,497,1066.6666666666667,1430.278411126077
Pothole,2022,5,777,9,427.6666666666667,388.66609491096403
Public Garage or Parking Lot Complaint,2022,5,2,777,262.6666666666667,445.4394833569868
Public Litter and Recycling Cans,2022,5,105,2,294.6666666666667,420.875674437641
Scooter or Bike Share Issue,2022,5,416,105,174.33333333333334,215.53267347049675
Street Sign and Traffic Signal Maintenance,2022,5,698,416,406.3333333333333,296.6181608285956
Streetlight Maintenance,2022,5,204,698,439.3333333333333,247.8252072193998
"Taxi, TNC, or Limousine Complaint or Compliment",2022,5,1,204,301.0,358.4815197468425
Towing Complaint - Public Impound,2022,5,11,1,72.0,114.42464769448488
Towing Impound Complaint,2022,5,1,11,4.333333333333333,5.773502692530893
Traffic Calming,2022,5,6,1,6.0,5.000000000731961
Wireless or Small Cell Issue,2022,5,1,6,2.6666666666666665,2.8867513472188757
Abandoned Vehicle/72hr Parking Ordinance,2022,6,4952,1,1653.0,2857.0189008825264
Animal Noise,2022,6,34,4952,1662.3333333333333,2848.9826839300604
Business Related Complaint,2022,6,8,34,1664.6666666666667,2846.9438584793575
Clogged Storm Drain,2022,6,150,8,64.0,75.60423268579105
Damaged Sidewalk,2022,6,95,150,84.33333333333333,71.59841711476913
Dead Animal,2022,6,131,95,125.33333333333333,27.934447074181733
General Inquiry - Animal Shelter,2022,6,83,131,103.0,24.979991993734483
General Inquiry - City Light,2022,6,338,83,184.0,135.51014722155176
General Inquiry - Customer Service Bureau,2022,6,3125,338,1182.0,1687.5108888537584
General Inquiry - Police Department,2022,6,84,3125,1182.3333333333333,1687.1853286860146
General Inquiry - Public Utilities,2022,6,139,84,1116.0,1740.062355204549
General Inquiry - Transportation,2022,6,629,139,284.0,300.04166377355943
Graffiti,2022,6,1937,629,901.6666666666666,929.49520350206
Illegal Dumping / Needles,2022,6,2858,1937,1808.0,1120.0852646115823
Internet/Cable Issue,2022,6,37,2858,1610.6666666666667,1438.534091821717
Overgrown Vegetation,2022,6,1337,37,1410.6666666666667,1411.9420431920473
Parking Enforcement,2022,6,2895,1337,1423.0,1430.9395514835699
Parks and Recreation Maintenance,2022,6,642,2895,1624.6666666666667,1153.7184809706969
Pollution Report Form,2022,6,8,642,1181.6666666666667,1517.2746400481801
Pothole,2022,6,730,8,460.0,393.9086188445296
Public Garage or Parking Lot Complaint,2022,6,3,730,247.0,418.2977408497517
Public Litter and Recycling Cans,2022,6,120,3,284.3333333333333,390.36692141284095
Safe Routes to School,2022,6,2,120,41.666666666666664,67.8404992120515
Scooter or Bike Share Issue,2022,6,622,2,248.0,329.2233284565448
Street Sign and Traffic Signal Maintenance,2022,6,745,622,456.3333333333333,398.24155149022084
Streetlight Maintenance,2022,6,170,745,512.3333333333334,302.7809989635049
Towing Complaint - Public Impound,2022,6,7,170,307.3333333333333,387.6936075476858
Towing Impound Complaint,2022,6,4,7,60.333333333333336,94.98596387540803
Traffic Calming,2022,6,8,4,6.333333333333333,2.0816660012122776
Unauthorized Encampment,2022,6,327,8,113.0,185.34022768952968
ADA Request (Transportation),2022,7,1,327,112.0,186.22835444691745
Abandoned Vehicle/72hr Parking Ordinance,2022,7,4229,1,1519.0,2352.5824108838356
Animal Noise,2022,7,54,4229,1428.0,2425.8819014947944
Business Related Complaint,2022,7,20,54,1434.3333333333333,2420.3120322250466
Clogged Storm Drain,2022,7,68,20,47.333333333333336,24.68467810893337
Damaged Sidewalk,2022,7,102,68,63.333333333333336,41.19870548138084
Dead Animal,2022,7,148,102,106.0,40.14971979986876
General Inquiry - Animal Shelter,2022,7,105,148,118.33333333333333,25.73583752943032
General Inquiry - City Light,2022,7,318,105,190.33333333333334,112.63362434611082
General Inquiry - Customer Service Bureau,2022,7,1917,318,780.0,990.4135499880866
General Inquiry - Police Department,2022,7,73,1917,769.3333333333334,1001.4291454383268
General Inquiry - Public Utilities,2022,7,144,73,711.3333333333334,1044.7412757871384
General Inquiry - Transportation,2022,7,589,144,268.6666666666667,279.6789826449966
Graffiti,2022,7,1891,589,874.6666666666666,907.8581019814367
Illegal Dumping / Needles,2022,7,2754,1891,1744.6666666666667,1089.8928081849754
Internet/Cable Issue,2022,7,49,2754,1564.6666666666667,1381.7113784482387
Nightlife Noise Complaint,2022,7,1,49,934.6666666666666,1575.7716628158203
Overgrown Vegetation,2022,7,1057,1,369.0,596.3086449146996
Parking Enforcement,2022,7,3003,1057,1353.6666666666667,1522.8293841837087
Parks and Recreation Maintenance,2022,7,475,3003,1511.6666666666667,1323.909866015558
Pollution Report Form,2022,7,1,475,1159.6666666666667,1613.8702963166943
Pothole,2022,7,460,1,312.0,269.4383046265057
Public Garage or Parking Lot Complaint,2022,7,2,460,154.33333333333334,264.71557062881624
Public Litter and Recycling Cans,2022,7,190,2,217.33333333333334,230.22018446117946
Safe Routes to School,2022,7,1,190,64.33333333333333,108.83167431102146
Scooter or Bike Share Issue,2022,7,596,1,262.3333333333333,304.0235736474053
Street Sign and Traffic Signal Maintenance,2022,7,720,596,439.0,384.352702605309
Streetlight Maintenance,2022,7,157,720,491.0,295.82258196426596
Towing Complaint - Public Impound,2022,7,4,157,293.6666666666667,377.05746688447783
Towing Impound Complaint,2022,7,5,4,55.333333333333336,88.04733575378759
Traffic Calming,2022,7,3,5,4.0,1.0000000035545646
Unauthorized Encampment,2022,7,3869,3,1292.3333333333333,2231.459014486561
ADA Request (Transportation),2022,8,5,3869,1292.3333333333333,2231.459014486561
Abandoned Vehicle/72hr Parking Ordinance,2022,8,4714,5,2862.6666666666665,2510.61752031912
Animal Noise,2022,8,56,4714,1591.6666666666667,2704.1402207232773
Business Related Complaint,2022,8,13,56,1594.3333333333333,2701.796130971642
Clogged Storm Drain,2022,8,55,13,41.333333333333336,24.5424801791222
Damaged Sidewalk,2022,8,126,55,64.66666666666667,57.11683931506074
Dead Animal,2022,8,113,126,98.0,37.80211634298982
General Inquiry - Animal Shelter,2022,8,99,113,112.66666666666667,13.50308606734713
General Inquiry - City Light,2022,8,321,99,177.66666666666666,124.32752443985122
General Inquiry - Customer Service Bureau,2022,8,1817,321,745.6666666666666,934.4181790469074
General Inquiry - Police Department,2022,8,65,1817,734.3333333333334,946.313549165042
General Inquiry - Public Utilities,2022,8,182,65,688.0,979.4911944474056
General Inquiry - Transportation,2022,8,612,182,286.3333333333333,288.0387705385176
Graffiti,2022,8,2134,612,976.0,1025.6451628121704
Illegal Dumping / Needles,2022,8,3283,2134,2009.6666666666667,1339.8336961478956
Internet/Cable Issue,2022,8,21,3283,1812.6666666666667,1654.5701355135518
Overgrown Vegetation,2022,8,880,21,1394.6666666666667,1690.80523222911
Parking Enforcement,2022,8,3313,880,1404.6666666666667,1707.5632735958382
Parks and Recreation Maintenance,2022,8,454,3313,1549.0,1542.4464334296997
Pollution Report Form,2022,8,4,454,1257.0,1794.7080542528365
Pothole,2022,8,472,4,310.0,265.1565575278272
Public Garage or Parking Lot Complaint,2022,8,3,472,159.66666666666666,270.48906324164403
Public Litter and Recycling Cans,2022,8,145,3,206.66666666666666,240.50433121534806
Scooter or Bike Share Issue,2022,8,567,145,238.33333333333334,293.35530220765
Street Sign and Traffic Signal Maintenance,2022,8,805,567,505.6666666666667,334.2474133532527
Streetlight Maintenance,2022,8,339,805,570.3333333333334,233.0178820033771
Towing Complaint - Public Impound,2022,8,7,339,383.6666666666667,400.8707189772543
Towing Impound Complaint,2022,8,5,7,117.0,192.26024029946717
Traffic Calming,2022,8,11,5,7.666666666666667,3.0550504648492876
Unauthorized Encampment,2022,8,4251,11,1422.3333333333333,2449.699029132627
ADA Request (Transportation),2022,9,2,4251,1421.3333333333333,2450.56734927513
Abandoned Vehicle/72hr Parking Ordinance,2022,9,4392,2,2881.6666666666665,2494.860784359185
Animal Noise,2022,9,60,4392,1484.6666666666667,2517.991527653208
Business Related Complaint,2022,9,9,60,1487.0,2515.9330277255
Clogged Storm Drain,2022,9,87,9,52.0,39.61060464080483
Damaged Sidewalk,2022,9,103,87,66.33333333333333,50.292477900212916
Dead Animal,2022,9,141,103,110.33333333333333,27.73685875046352
General Inquiry - Animal Shelter,2022,9,112,141,118.66666666666667,19.857828011721708
General Inquiry - City Light,2022,9,296,112,183.0,98.92926766134194
General Inquiry - Customer Service Bureau,2022,9,1672,296,693.3333333333334,852.5287873927425
General Inquiry - Police Department,2022,9,67,1672,678.3333333333334,868.1246070313524
General Inquiry - Public Utilities,2022,9,152,67,630.3333333333334,903.1103660867482
General Inquiry - Transportation,2022,9,649,152,289.3333333333333,314.366558866146
Graffiti,2022,9,2047,649,949.3333333333334,982.5509316739456
Illegal Dumping / Needles,2022,9,3099,2047,1931.6666666666667,1229.0652274526904
Internet/Cable Issue,2022,9,56,3099,1734.0,1545.4575374302592
Overgrown Vegetation,2022,9,583,56,1246.0,1626.2346079210108
Parking Enforcement,2022,9,3167,583,1268.6666666666667,1664.9877877430024
Parks and Recreation Maintenance,2022,9,451,3167,1400.3333333333333,1531.4011013883126
Pollution Report Form,2022,9,1,451,1206.3333333333333,1712.8296276434903
Pothole,2022,9,389,1,280.3333333333333,243.88795241533106
Public Garage or Parking Lot Complaint,2022,9,4,389,131.33333333333334,223.15092052990428
Public Litter and Recycling Cans,2022,9,107,4,166.66666666666666,199.31465910299585
Safe Routes to School,2022,9,2,107,37.666666666666664,60.052754585815755
Scooter or Bike Share Issue,2022,9,529,2,212.66666666666666,278.9378664386447
Street Sign and Traffic Signal Maintenance,2022,9,824,529,451.6666666666667,416.42086082873146
Streetlight Maintenance,2022,9,429,824,594.0,205.3655277791469
Towing Complaint - Public Impound,2022,9,3,429,418.6666666666667,410.5975320594876
Towing Impound Complaint,2022,9,7,3,146.33333333333334,244.8046840510687
Traffic Calming,2022,9,3,7,4.333333333333333,2.3094010791616997
Unauthorized Encampment,2022,9,4041,3,1350.3333333333333,2330.1865447498694
Wireless or Small Cell Issue,2022,9,1,4041,1348.3333333333333,2331.9179516726863
ADA Request (Transportation),2022,10,3,1,1348.3333333333333,2331.9179516726863
Abandoned Vehicle/72hr Parking Ordinance,2022,10,4509,3,1504.3333333333333,2602.1178553888244
Animal Noise,2022,10,38,4509,1516.6666666666667,2591.4957714287966
Business Related Complaint,2022,10,23,38,1523.3333333333333,2585.6740578296667
Clogged Storm Drain,2022,10,161,23,74.0,75.71657678480358
Damaged Sidewalk,2022,10,137,161,107.0,73.72923436472715
Dead Animal,2022,10,136,137,144.66666666666666,14.153915830680026
Feedback about the Customer Service Requests Portal,2022,10,4,136,92.33333333333333,76.50054466042894
General Inquiry - Animal Shelter,2022,10,58,4,66.0,66.36264009221684
General Inquiry - City Light,2022,10,288,58,116.66666666666667,150.8155606472427
General Inquiry - Customer Service Bureau,2022,10,1503,288,616.3333333333334,776.4395232942094
General Inquiry - Police Department,2022,10,80,1503,623.6666666666666,768.5937375059331
General Inquiry - Public Utilities,2022,10,138,80,573.6666666666666,805.3485787740234
General Inquiry - Transportation,2022,10,618,138,278.6666666666667,295.2987188142559
Graffiti,2022,10,1984,618,913.3333333333334,957.7814642878288
Illegal Dumping / Needles,2022,10,2625,1984,1742.3333333333333,1025.0923535630009
Internet/Cable Issue,2022,10,27,2625,1545.3333333333333,1353.4113688503337
Overgrown Vegetation,2022,10,486,27,1046.0,1386.578883439382
Parking Enforcement,2022,10,3484,486,1332.3333333333333,1877.4776518865237
Parks and Recreation Maintenance,2022,10,439,3484,1469.6666666666667,1744.6221176327365
Pollution Report Form,2022,10,6,439,1309.6666666666667,1895.4330200071263
Pothole,2022,10,388,6,277.6666666666667,236.64812133913372
Public Garage or Parking Lot Complaint,2022,10,4,388,132.66666666666666,221.12741425102018
Public Litter and Recycling Cans,2022,10,63,4,151.66666666666666,206.78571839791587
Safe Routes to School,2022,10,1,63,22.666666666666668,34.961884007344125
Scooter or Bike Share Issue,2022,10,518,1,194.0,282.29948636157405
Street Sign and Traffic Signal Maintenance,2022,10,669,518,396.0,350.3127174397288
Streetlight Maintenance,2022,10,536,669,574.3333333333334,82.47625921038996
"Taxi, TNC, or Limousine Complaint or Compliment",2022,10,1,536,402.0,353.58591600911825
Towing Complaint - Public Impound,2022,10,4,1,180.33333333333334,308.02002099432104
Towing Impound Complaint,2022,10,5,4,3.3333333333333335,2.0816660018171547
Traffic Calming,2022,10,7,5,5.333333333333333,1.5275252348516446
Unauthorized Encampment,2022,10,3632,7,1214.6666666666667,2093.472314919243
Wireless or Small Cell Issue,2022,10,4,3632,1214.3333333333333,2093.761288526783
ADA Request (Transportation),2022,11,2,4,1212.6666666666667,2095.204365529371
Abandoned Vehicle/72hr Parking Ordinance,2022,11,2988,2,998.0,1723.3908436567726
Animal Noise,2022,11,30,2988,1006.6666666666666,1715.9421124657254
Business Related Complaint,2022,11,10,30,1009.3333333333334,1713.6047774598833
Clogged Storm Drain,2022,11,394,10,144.66666666666666,216.16043424581974
Damaged Sidewalk,2022,11,67,394,157.0,207.21727727196867
Dead Animal,2022,11,109,67,190.0,177.91290003821456
Feedback about the Customer Service Requests Portal,2022,11,3,109,59.666666666666664,53.379146989643026
"Feedback about the Find It, Fix It mobile app",2022,11,2,3,38.0,61.48983655864378
General Inquiry - Animal Shelter,2022,11,63,2,22.666666666666668,34.93326972017018
General Inquiry - City Light,2022,11,275,63,113.33333333333333,143.29107904311965
General Inquiry - Customer Service Bureau,2022,11,894,275,410.6666666666667,431.7920023962227
General Inquiry - Police Department,2022,11,95,894,421.3333333333333,419.118519434944
General Inquiry - Public Utilities,2022,11,131,95,373.3333333333333,451.2696902444699
General Inquiry - Transportation,2022,11,587,131,271.0,274.2553554627643
Graffiti,2022,11,1468,587,728.6666666666666,679.6648683971665
Illegal Dumping / Needles,2022,11,1546,1468,1200.3333333333333,532.5920890637924
Internet/Cable Issue,2022,11,36,1546,1016.6666666666666,850.177236423874
Overgrown Vegetation,2022,11,348,36,643.3333333333334,797.1457415889131
Parking Enforcement,2022,11,2422,348,935.3333333333334,1296.9076040078323
Parks and Recreation Maintenance,2022,11,243,2422,1004.3333333333334,1228.857328306804
Pothole,2022,11,452,243,1039.0,1202.263282313821
Public Garage or Parking Lot Complaint,2022,11,3,452,232.66666666666666,224.67828852236931
Public Litter and Recycling Cans,2022,11,76,3,177.0,240.9377512969025
Scooter or Bike Share Issue,2022,11,330,76,136.33333333333334,171.64595344295657
Street Sign and Traffic Signal Maintenance,2022,11,607,330,337.6666666666667,265.58300648448943
Streetlight Maintenance,2022,11,596,607,511.0,156.8470592647689
Towing Complaint - Public Impound,2022,11,5,596,402.6666666666667,344.4333510758503
Towing Impound Complaint,2022,11,7,5,202.66666666666666,340.63812665839566
Traffic Calming,2022,11,5,7,5.666666666666667,1.1547005423373016
Unauthorized Encampment,2022,11,2079,5,697.0,1196.847525794328
Wireless or Small Cell Issue,2022,11,2,2079,695.3333333333334,1198.2914225401673
ADA Request (Transportation),2022,12,3,2,694.6666666666666,1198.867938237293
Abandoned Vehicle/72hr Parking Ordinance,2022,12,2974,3,993.0,1715.596397757935
Animal Noise,2022,12,24,2974,1000.3333333333334,1709.2777227043402
Business Related Complaint,2022,12,14,24,1004.0,1706.0773722196782
Clogged Storm Drain,2022,12,448,14,162.0,247.73372802266448
Damaged Sidewalk,2022,12,45,448,169.0,242.11773995312168
Dead Animal,2022,12,59,45,184.0,228.73784120693142
Feedback about the Customer Service Requests Portal,2022,12,2,59,35.333333333333336,29.70409623842499
"Feedback about the Find It, Fix It mobile app",2022,12,3,2,21.333333333333332,32.62412195510708
General Inquiry - Animal Shelter,2022,12,60,3,21.666666666666668,33.20140559286154
General Inquiry - City Light,2022,12,280,60,114.33333333333333,146.27485543777212
General Inquiry - Customer Service Bureau,2022,12,783,280,374.3333333333333,370.61615363248745
General Inquiry - Police Department,2022,12,88,783,383.6666666666667,358.9099237041788
General Inquiry - Public Utilities,2022,12,148,88,339.6666666666667,385.1082099012429
General Inquiry - Transportation,2022,12,568,148,268.0,261.5339366124535
Graffiti,2022,12,1254,568,656.6666666666666,558.3057704639436
Illegal Dumping / Needles,2022,12,1323,1254,1048.3333333333333,417.4090719346373
Internet/Cable Issue,2022,12,31,1323,869.3333333333334,726.837212402706
Overgrown Vegetation,2022,12,270,31,541.3333333333334,687.4098728803206
Parking Enforcement,2022,12,2063,270,788.0,1110.6300013956059
Parks and Recreation Maintenance,2022,12,260,2063,864.3333333333334,1038.0878254431734
Pollution Report Form,2022,12,6,260,776.3333333333334,1121.500037152624
Pothole,2022,12,1038,6,434.6666666666667,537.714918273
Public Garage or Parking Lot Complaint,2022,12,5,1038,349.6666666666667,596.1143626296381
Public Litter and Recycling Cans,2022,12,106,5,383.0,569.4901228291902
Safe Routes to School,2022,12,1,106,37.333333333333336,59.50070027606214
Scooter or Bike Share Issue,2022,12,188,1,98.33333333333333,93.73544331436943
Street Sign and Traffic Signal Maintenance,2022,12,653,188,280.6666666666667,335.73253243220285
Streetlight Maintenance,2022,12,494,653,445.0,236.3408555455567
Towing Complaint - Public Impound,2022,12,3,494,383.3333333333333,338.83673551334346
Towing Impound Complaint,2022,12,15,3,170.66666666666666,280.079155478127
Traffic Calming,2022,12,6,15,8.0,6.244997999086322
Unauthorized Encampment,2022,12,2095,6,705.3333333333334,1203.4950491519844
Wireless or Small Cell Issue,2022,12,1,2095,700.6666666666666,1207.5306759388507
ADA Request (Transportation),2023,1,3,1,699.6666666666666,1208.394527186108
Abandoned Vehicle/72hr Parking Ordinance,2023,1,3517,3,1173.6666666666667,2029.3864425814356
Animal Noise,2023,1,33,3517,1184.3333333333333,2020.2042800997463
Business Related Complaint,2023,1,16,33,1188.6666666666667,2016.4137306945058
Clogged Storm Drain,2023,1,366,16,138.33333333333334,197.3482539404427
Damaged Sidewalk,2023,1,75,366,152.33333333333334,187.3775155490684
Dead Animal,2023,1,99,75,180.0,161.52708751168595
Feedback about the Customer Service Requests Portal,2023,1,6,99,60.0,48.28043081838251
"Feedback about the Find It, Fix It mobile app",2023,1,3,6,36.0,54.58021619606113
General Inquiry - Animal Shelter,2023,1,83,3,30.666666666666668,45.34681172190764
General Inquiry - City Light,2023,1,229,83,105.0,114.59493880625067
General Inquiry - Customer Service Bureau,2023,1,1262,229,524.6666666666666,642.7085913019515
General Inquiry - Police Department,2023,1,98,1262,529.6666666666666,637.5926076526758
General Inquiry - Public Utilities,2023,1,158,98,506.0,655.4021666122304
General Inquiry - Transportation,2023,1,711,158,322.3333333333333,337.92947982284755
Graffiti,2023,1,1783,711,884.0,826.1979181769967
Illegal Dumping / Needles,2023,1,1873,1783,1455.6666666666667,646.4683544716886
Internet/Cable Issue,2023,1,43,1873,1233.0,1031.5522284402282
Overgrown Vegetation,2023,1,336,43,750.6666666666666,982.9477775209309
Parking Enforcement,2023,1,2509,336,962.6666666666666,1347.153418632539
Parks and Recreation Maintenance,2023,1,326,2509,1057.0,1257.4788268595232
Pollution Report Form,2023,1,6,326,947.0,1362.161150525151
Pothole,2023,1,2111,6,814.3333333333334,1134.2875884595308
Public Garage or Parking Lot Complaint,2023,1,3,2111,706.6666666666666,1216.1892670687973
Public Litter and Recycling Cans,2023,1,134,3,749.3333333333334,1181.055601287822
Safe Routes to School,2023,1,1,134,46.0,76.21679604923166
Scooter or Bike Share Issue,2023,1,294,1,143.0,146.70719137114398
Street Sign and Traffic Signal Maintenance,2023,1,751,294,348.6666666666667,377.9766306709203
Streetlight Maintenance,2023,1,583,751,542.6666666666666,231.15434958775893
Towing Complaint - Public Impound,2023,1,5,583,446.3333333333333,391.32765470043205
